"","year","foi"
"975",2003,0.02
"976",2003,0.02
"977",2003,0.02
"978",2003,0.02
"979",2003,0.02
"980",2003,0.02
"981",2003,0.02
"982",2003,0.02
"983",2003,0.02
"984",2003,0.02
"985",2003,0.02
"986",2003,0.02
"987",2003,0.02
"988",2003,0.02
"989",2003,0.02
"990",2003,0.02
"991",2003,0.02
"992",2003,0.02
"993",2003,0.02
"994",2003,0.02
"995",2003,0.02
"996",2003,0.02
"997",2003,0.02
"998",2003,0.02
"999",2003,0.02
"1000",2003,0.02
"1001",2003,0.02
"1002",2003,0.02
"1003",2003,0.02
"1004",2003,0.02
"1005",2003,0.02
"1006",2004,0.02
"1007",2004,0.02
"1008",2004,0.02
"1009",2004,0.02
"1010",2004,0.02
"1011",2004,0.02
"1012",2004,0.02
"1013",2004,0.02
"1014",2004,0.02
"1015",2004,0.02
"1016",2004,0.02
"1017",2004,0.02
"1018",2004,0.02
"1019",2004,0.02
"1020",2004,0.02
"1021",2004,0.02
"1022",2004,0.02
"1023",2004,0.02
"1024",2004,0.02
"1025",2004,0.02
"1026",2004,0.02
"1027",2004,0.02
"1028",2004,0.02
"1029",2004,0.02
"1030",2004,0.02
"1031",2004,0.02
"1032",2005,0.02
"1033",2005,0.02
"1034",2005,0.02
"1035",2005,0.02
"1036",2005,0.02
"1037",2005,0.02
"1038",2005,0.02
"1039",2005,0.02
"1040",2005,0.02
"1041",2005,0.02
"1042",2005,0.02
"1043",2005,0.02
"1044",2005,0.02
"1045",2005,0.02
"1046",2005,0.02
"1047",2005,0.02
"1048",2005,0.02
"1049",2005,0.02
"1050",2005,0.02
"1051",2005,0.02
"1052",2005,0.02
"1053",2005,0.02
"1054",2005,0.02
"1055",2005,0.02
"1056",2005,0.02
"1057",2005,0.02
"1058",2005,0.02
"1059",2005,0.02
"1060",2005,0.02
"1061",2005,0.02
"1062",2005,0.02
"1063",2005,0.02
"1064",2005,0.02
"1065",2005,0.02
"1066",2005,0.02
"1067",2005,0.02
"1068",2005,0.02
"1069",2005,0.02
"1070",2005,0.02
"1071",2005,0.02
"1072",2005,0.02
"1073",2005,0.02
"1074",2005,0.02
"1075",2005,0.02
"1076",2005,0.02
"1077",2005,0.02
"1078",2005,0.02
"1079",2005,0.02
"1080",2005,0.02
"1081",2005,0.02
"1082",2005,0.02
"1083",2005,0.02
"1084",2005,0.02
"1085",2005,0.02
"1086",2005,0.02
"1087",2005,0.02
"1088",2005,0.02
"1089",2005,0.02
"1090",2005,0.02
"1091",2005,0.02
"1092",2005,0.02
"1093",2006,0.02
"1094",2006,0.02
"1095",2006,0.02
"1096",2006,0.02
"1097",2006,0.02
"1098",2006,0.02
"1099",2006,0.02
"1100",2006,0.02
"1101",2006,0.02
"1102",2006,0.02
"1103",2006,0.02
"1104",2006,0.02
"1105",2006,0.02
"1106",2006,0.02
"1107",2006,0.02
"1108",2006,0.02
"1109",2006,0.02
"1110",2006,0.02
"1111",2006,0.02
"1112",2006,0.02
"1113",2006,0.02
"1114",2006,0.02
"1115",2006,0.02
"1116",2006,0.02
"1117",2006,0.02
"1118",2006,0.02
"1119",2006,0.02
"1120",2006,0.02
"1121",2006,0.02
"1122",2006,0.02
"1123",2006,0.02
"1124",2006,0.02
"1125",2006,0.02
"1126",2006,0.02
"1127",2006,0.02
"1128",2006,0.02
"1129",2006,0.02
"1130",2007,0.02
"1131",2007,0.02
"1132",2007,0.02
"1133",2007,0.02
"1134",2007,0.02
"1135",2007,0.02
"1136",2007,0.02
"1137",2007,0.02
"1138",2007,0.02
"1139",2007,0.02
"1140",2007,0.02
"1141",2007,0.02
"1142",2007,0.02
"1143",2007,0.02
"1144",2007,0.02
"1145",2007,0.02
"1146",2007,0.02
"1147",2007,0.02
"1148",2007,0.02
"1149",2007,0.02
"1150",2007,0.02
"1151",2007,0.02
"1152",2007,0.02
"1153",2007,0.02
"1154",2007,0.02
"1155",2007,0.02
"1156",2007,0.02
"1157",2007,0.02
"1158",2007,0.02
"1159",2007,0.02
"1160",2008,0.02
"1161",2008,0.02
"1162",2008,0.02
"1163",2008,0.02
"1164",2008,0.02
"1165",2008,0.02
"1166",2008,0.02
"1167",2008,0.02
"1168",2008,0.02
"1169",2008,0.02
"1170",2008,0.02
"1171",2008,0.02
"1172",2008,0.02
"1173",2008,0.02
"1174",2008,0.02
"1175",2008,0.02
"1176",2008,0.02
"1177",2008,0.02
"1178",2008,0.02
"1179",2008,0.02
"1180",2008,0.02
"1181",2008,0.02
"1182",2008,0.02
"1183",2008,0.02
"1184",2008,0.02
"1185",2008,0.02
"1186",2008,0.02
"1187",2008,0.02
"1188",2008,0.02
"1189",2008,0.02
"1190",2009,0.02
"1191",2009,0.02
"1192",2009,0.02
"1193",2009,0.02
"1194",2009,0.02
"1195",2009,0.02
"1196",2009,0.02
"1197",2009,0.02
"1198",2009,0.02
"1199",2009,0.02
"1200",2009,0.02
"1201",2009,0.02
"1202",2009,0.02
"1203",2009,0.02
"1204",2009,0.02
"1205",2010,0.02
"1206",2010,0.02
"1207",2010,0.02
"1208",2010,0.02
"1209",2010,0.02
"1210",2010,0.02
"1211",2010,0.02
"1212",2010,0.02
"1213",2010,0.02
"1214",2010,0.02
"1215",2010,0.02
"1216",2010,0.02
"1217",2010,0.02
"1218",2010,0.02
"1219",2010,0.02
"1220",2010,0.02
"1221",2010,0.02
"1222",2010,0.02
"1223",2010,0.02
"1224",2010,0.02
"1225",2011,0.02
"1226",2011,0.02
"1227",2011,0.02
"1228",2011,0.02
"1229",2011,0.02
"1230",2011,0.02
"1231",2011,0.02
"1232",2011,0.02
"1233",2011,0.02
"1234",2011,0.02
"1235",2011,0.02
"1236",2012,0.02
"1237",2012,0.02
"1238",2012,0.02
"1239",2012,0.02
"1240",2012,0.02
"1241",2012,0.02
"1242",2012,0.02
"1243",2012,0.02
"1244",2012,0.02
"1245",2012,0.02
"1246",2012,0.02
"1247",2012,0.02
"1248",2012,0.02
"1249",2012,0.02
"1250",2012,0.02
"1251",2012,0.02
"1252",2012,0.02
"1253",2012,0.02
"1254",2012,0.02
"1255",2012,0.02
"1256",2012,0.02
"1257",2013,0.02
"1258",2013,0.02
"1259",2013,0.02
"1260",2013,0.02
"1261",2013,0.02
"1262",2013,0.02
"1263",2013,0.02
"1264",2013,0.02
"1265",2013,0.02
"1266",2013,0.02
"1267",2013,0.02
"1268",2013,0.02
"1269",2013,0.02
"1270",2013,0.02
"1271",2013,0.02
"1272",2013,0.02
"1273",2013,0.02
"1274",2014,0.02
"1275",2014,0.02
"1276",2014,0.02
"1277",2014,0.02
"1278",2014,0.02
"1279",2014,0.02
"1280",2014,0.02
"1281",2014,0.02
"1282",2014,0.02
"1283",2014,0.02
"1284",2014,0.02
"1285",2014,0.02
"1286",2014,0.02
"1287",2014,0.02
"1288",2014,0.02
"1289",2014,0.02
"1290",2014,0.02
"1291",2014,0.02
"1292",2014,0.02
"1293",2014,0.02
"1294",2014,0.02
"1295",2014,0.02
"1296",2014,0.02
"1297",2014,0.02
"1298",2015,0.02
"1299",2015,0.02
"1300",2015,0.02
"1301",2015,0.02
"1302",2015,0.02
"1303",2015,0.02
"1304",2015,0.02
"1305",2015,0.02
"1306",2015,0.02
"1307",2015,0.02
"1308",2015,0.02
"1309",2015,0.02
"1310",2015,0.02
"1311",2015,0.02
"1312",2015,0.02
"1313",2015,0.02
"1314",2015,0.02
"1315",2015,0.02
"1316",2015,0.02
"1317",2015,0.02
"1318",2015,0.02
"1319",2015,0.02
"1320",2015,0.02
"1321",2015,0.02
"1322",2015,0.02
"1323",2015,0.02
"1324",2015,0.02
"1325",2015,0.02
"1326",2016,0.02
"1327",2016,0.02
"1328",2016,0.02
"1329",2016,0.02
"1330",2016,0.02
"1331",2016,0.02
"1332",2016,0.02
"1333",2016,0.02
"1334",2016,0.02
"1335",2016,0.02
"1336",2016,0.02
"1337",2016,0.02
"1338",2016,0.02
"1339",2016,0.02
"1340",2016,0.02
"1341",2016,0.02
"1342",2016,0.02
"1343",2016,0.02
"1344",2016,0.02
"1345",2016,0.02
"1346",2016,0.02
"1347",2016,0.02
"1348",2017,0.02
"1349",2017,0.02
"1350",2017,0.02
"1351",2017,0.02
"1352",2017,0.02
"1353",2017,0.02
"1354",2017,0.02
"1355",2017,0.02
"1356",2017,0.02
"1357",2017,0.02
"1358",2017,0.02
"1359",2017,0.02
"1360",2017,0.02
